Order_ID,Customer_ID,Product_ID,Order_Date,Order_Time,Delivery_Date,Quantity,Unit_Price,Order_Value,Shipping_Cost,Coupon_Code,Coupon_Discount,Total_Amount,Payment_Mode,Order_Status,Rating,Review_Text,City,State,Customer_Age,Customer_Age_Group
ORD0000000001,CUST00014303,PROD001017,6/7/2026,8:20:00,6/10/2026,1,2622.46,2622.46,0,,0,2622.46,COD,Delivered,,,Chennai,Tamil Nadu,43,36-45
ORD0000000002,CUST00034253,PROD000703,2/4/2025,20:05:00,2/7/2025,1,90258,90258,0,,0,90258,COD,Delivered,4,Nice quality,Durgapur,West Bengal,22,18-25
ORD0000000003,CUST00000421,PROD000318,3/12/2026,14:59:00,3/19/2026,1,3536.5,3536.5,0,,0,3536.5,UPI,Processing,,,Patiala,Punjab,41,36-45
ORD0000000004,CUST00026507,PROD000213,1/27/2025,14:33:00,2/2/2025,1,34081.56,34081.56,0,FLAT50,50,34031.56,Credit Card,Delivered,,,Rajkot,Gujarat,29,26-35
ORD0000000005,CUST00009418,PROD001437,6/30/2024,7:19:00,7/2/2024,2,69021.17,138042.34,0,,0,138042.34,UPI,Delivered,,,Surat,Gujarat,39,36-45
ORD0000000006,CUST00033802,PROD000121,9/18/2025,11:56:00,9/23/2025,1,4489.77,4489.77,0,FLAT50,50,4439.77,UPI,Returned,,,Agra,UP,50,46-55
ORD0000000007,CUST00027469,PROD001308,3/1/2026,10:32:00,3/5/2026,2,33620.99,67241.98,0,,0,67241.98,COD,Processing,,,Dwarka,Delhi,36,36-45
ORD0000000008,CUST00017326,PROD001392,6/19/2024,17:46:00,6/23/2024,2,1161.62,2323.24,0,SAVE10,232.32,2090.92,Credit Card,Delivered,,,Delhi NCR,Delhi,20,18-25
ORD0000000009,CUST00009627,PROD001876,2/12/2025,12:19:00,2/15/2025,1,22456.69,22456.69,0,SAVE10,2245.67,20211.02,Credit Card,Delivered,,,Agra,UP,29,26-35
ORD0000000010,CUST00012719,PROD000214,10/19/2024,7:45:00,10/25/2024,1,86647.71,86647.71,0,,0,86647.71,UPI,Delivered,5,Highly recommended!,Surat,Gujarat,39,36-45
ORD0000000011,CUST00034189,PROD000803,12/1/2025,3:58:00,12/7/2025,1,479.01,479.01,56.13,,0,535.14,UPI,Delivered,,,Jalandhar,Punjab,45,36-45
ORD0000000012,CUST00024824,PROD001485,7/3/2025,13:15:00,7/8/2025,1,10965.89,10965.89,0,SAVE10,1096.59,9869.3,COD,Cancelled,,,Howrah,West Bengal,62,56-65
ORD0000000013,CUST00004378,PROD000636,4/17/2026,4:46:00,4/19/2026,1,3948.58,3948.58,0,,0,3948.58,COD,Delivered,,,Ludhiana,Punjab,22,18-25
ORD0000000014,CUST00000924,PROD001923,12/27/2024,18:53:00,12/29/2024,1,1266.14,1266.14,0,,0,1266.14,COD,Delivered,,,Sohna,Haryana,74,65+
ORD0000000015,CUST00030093,PROD001441,1/1/2026,18:23:00,1/5/2026,1,4262.44,4262.44,0,,0,4262.44,COD,Delivered,5,Excellent product!,Gurugram,Haryana,18,18-25
ORD0000000016,CUST00034526,PROD000781,5/22/2026,21:09:00,5/27/2026,1,1021.14,1021.14,0,,0,1021.14,COD,Delivered,5,Amazing quality!,Ludhiana,Punjab,55,46-55
ORD0000000017,CUST00037696,PROD001773,9/1/2024,5:38:00,9/5/2024,1,17033.33,17033.33,0,,0,17033.33,Credit Card,Delivered,,,Bangalore,Karnataka,26,26-35
ORD0000000018,CUST00009717,PROD000149,5/16/2026,1:00:00,5/23/2026,1,6290.14,6290.14,0,,0,6290.14,COD,Delivered,5,Excellent product!,Amritsar,Punjab,23,18-25
ORD0000000019,CUST00004755,PROD000412,6/23/2026,12:03:00,6/28/2026,2,169.02,338.04,87.83,FLAT50,50,375.87,UPI,Delivered,4,Nice quality,Udaipur,Rajasthan,18,18-25
ORD0000000020,CUST00012891,PROD001160,11/24/2025,2:31:00,11/29/2025,1,40693.81,40693.81,0,,0,40693.81,UPI,Delivered,,,Madurai,Tamil Nadu,33,26-35
ORD0000000021,CUST00004111,PROD000711,8/1/2024,7:47:00,8/4/2024,2,39890.25,79780.5,0,,0,79780.5,COD,Delivered,4,Nice quality,Thane,Maharashtra,73,65+
ORD0000000022,CUST00005911,PROD001053,6/23/2024,22:18:00,6/26/2024,3,9843.99,29531.97,0,SAVE10,2953.2,26578.77,COD,Delivered,5,Highly recommended!,Amritsar,Punjab,21,18-25
ORD0000000023,CUST00001473,PROD001984,1/8/2026,7:37:00,1/15/2026,1,10438.92,10438.92,0,,0,10438.92,COD,Delivered,4,Good product,Patiala,Punjab,31,26-35
ORD0000000024,CUST00017813,PROD000955,5/26/2026,2:15:00,5/29/2026,1,4040.86,4040.86,0,,0,4040.86,UPI,Processing,,,Howrah,West Bengal,31,26-35
ORD0000000025,CUST00009797,PROD001786,11/11/2025,5:27:00,11/18/2025,2,24775.77,49551.54,0,,0,49551.54,UPI,Delivered,,,Noida,UP,21,18-25
ORD0000000026,CUST00022625,PROD000927,6/9/2025,22:38:00,6/11/2025,1,2016,2016,0,,0,2016,UPI,Delivered,,,Palwal,Haryana,46,46-55
ORD0000000027,CUST00015073,PROD000524,3/2/2025,18:12:00,3/6/2025,1,1904.89,1904.89,0,,0,1904.89,COD,Delivered,,,Thane,Maharashtra,43,36-45
ORD0000000028,CUST00028040,PROD000475,12/6/2024,9:44:00,12/8/2024,1,3507.32,3507.32,0,DIWALI100,100,3407.32,UPI,Delivered,,,Gurugram,Haryana,51,46-55
ORD0000000029,CUST00039705,PROD000021,10/12/2025,14:57:00,10/16/2025,1,16881.99,16881.99,0,,0,16881.99,COD,Delivered,4,Nice quality,Madurai,Tamil Nadu,29,26-35
ORD0000000030,CUST00032655,PROD000526,4/20/2026,7:44:00,4/23/2026,1,18704.01,18704.01,0,FLAT50,50,18654.01,Debit Card,Shipped,,,Surat,Gujarat,37,36-45
ORD0000000031,CUST00014976,PROD001394,4/8/2026,23:36:00,4/15/2026,1,860.78,860.78,0,SAVE10,86.08,774.7,UPI,Delivered,,,Coimbatore,Tamil Nadu,21,18-25
ORD0000000032,CUST00008760,PROD000282,6/17/2024,22:02:00,6/20/2024,2,70059.18,140118.36,0,SAVE10,14011.84,126106.52,COD,Cancelled,,,Chennai,Tamil Nadu,39,36-45
ORD0000000033,CUST00012150,PROD001506,2/12/2026,2:36:00,2/19/2026,1,9657.98,9657.98,0,,0,9657.98,UPI,Delivered,5,Excellent product!,Sohna,Haryana,33,26-35
ORD0000000034,CUST00034066,PROD000456,1/12/2026,8:48:00,1/14/2026,1,47155.97,47155.97,0,SAVE10,4715.6,42440.37,COD,Processing,,,Mysore,Karnataka,20,18-25
ORD0000000035,CUST00011072,PROD000437,4/30/2026,12:40:00,5/6/2026,1,343.36,343.36,77.97,,0,421.33,UPI,Delivered,,,Durgapur,West Bengal,49,46-55
ORD0000000036,CUST00010522,PROD001088,6/6/2026,4:41:00,6/13/2026,1,73098.84,73098.84,0,,0,73098.84,UPI,Processing,,,Kolkata,West Bengal,27,26-35
ORD0000000037,CUST00038528,PROD000534,7/2/2025,5:46:00,7/8/2025,2,6775.6,13551.2,0,,0,13551.2,UPI,Cancelled,,,Ahmedabad,Gujarat,34,26-35
ORD0000000038,CUST00027376,PROD001171,8/20/2025,16:46:00,8/24/2025,1,3315.8,3315.8,0,,0,3315.8,COD,Returned,,,Jodhpur,Rajasthan,48,46-55
ORD0000000039,CUST00003101,PROD000155,7/8/2025,4:37:00,7/10/2025,1,42492.94,42492.94,0,,0,42492.94,COD,Delivered,,,Ludhiana,Punjab,48,46-55
ORD0000000040,CUST00006605,PROD001513,3/16/2025,10:11:00,3/18/2025,1,1974.72,1974.72,0,,0,1974.72,UPI,Delivered,4,Good product,Delhi NCR,Delhi,27,26-35
ORD0000000041,CUST00023922,PROD000317,9/20/2025,22:30:00,9/23/2025,2,51352.73,102705.46,0,,0,102705.46,UPI,Processing,,,Patiala,Punjab,20,18-25
ORD0000000042,CUST00034257,PROD000461,9/29/2025,8:23:00,10/4/2025,2,5052.11,10104.22,0,DIWALI100,100,10004.22,UPI,Delivered,5,Amazing quality!,Coimbatore,Tamil Nadu,34,26-35
ORD0000000043,CUST00020140,PROD000290,7/31/2025,10:39:00,8/3/2025,1,10611.88,10611.88,0,,0,10611.88,Debit Card,Delivered,4,Nice quality,Delhi NCR,Delhi,35,26-35
ORD0000000044,CUST00037473,PROD000777,5/13/2026,22:50:00,5/18/2026,1,10793.08,10793.08,0,,0,10793.08,UPI,Delivered,4,Value for money,Faridabad,Haryana,31,26-35
ORD0000000045,CUST00026163,PROD000032,10/23/2025,20:10:00,10/25/2025,1,579.08,579.08,0,,0,579.08,COD,Delivered,5,Highly recommended!,New Delhi,Delhi,43,36-45
ORD0000000046,CUST00035463,PROD001121,11/17/2024,8:59:00,11/21/2024,1,33653.2,33653.2,0,,0,33653.2,Debit Card,Delivered,,,Jaipur,Rajasthan,44,36-45
ORD0000000047,CUST00021297,PROD001753,6/20/2025,23:31:00,6/27/2025,1,10285.7,10285.7,0,,0,10285.7,UPI,Returned,,,Ahmedabad,Gujarat,30,26-35
ORD0000000048,CUST00005593,PROD001764,6/19/2026,23:04:00,6/26/2026,1,25818.78,25818.78,0,,0,25818.78,Debit Card,Delivered,5,Amazing quality!,Udaipur,Rajasthan,41,36-45
ORD0000000049,CUST00005965,PROD001111,9/17/2025,12:19:00,9/20/2025,1,704.11,704.11,0,,0,704.11,Credit Card,Delivered,4,Good product,Delhi NCR,Delhi,22,18-25
ORD0000000050,CUST00001759,PROD000569,6/26/2025,11:59:00,6/29/2025,2,4227.67,8455.34,0,,0,8455.34,UPI,Delivered,5,Highly recommended!,Rajkot,Gujarat,27,26-35
ORD0000000051,CUST00008468,PROD001332,6/8/2024,6:47:00,6/11/2024,2,80247.86,160495.72,0,,0,160495.72,UPI,Delivered,,,Noida,UP,32,26-35
ORD0000000052,CUST00012217,PROD000052,10/4/2024,3:39:00,10/7/2024,1,750.99,750.99,0,,0,750.99,COD,Delivered,5,Amazing quality!,Alwar,Rajasthan,60,56-65
ORD0000000053,CUST00015381,PROD001758,1/29/2026,15:43:00,2/5/2026,1,4351.8,4351.8,0,,0,4351.8,UPI,Shipped,,,Thane,Maharashtra,25,18-25
ORD0000000054,CUST00000602,PROD000534,1/25/2026,16:35:00,1/30/2026,1,6775.6,6775.6,0,SAVE10,677.56,6098.04,UPI,Delivered,,,Jaipur,Rajasthan,26,26-35
ORD0000000055,CUST00016682,PROD001408,7/14/2025,20:53:00,7/17/2025,1,8508.72,8508.72,0,DIWALI100,100,8408.72,COD,Delivered,5,Amazing quality!,Alwar,Rajasthan,20,18-25
ORD0000000056,CUST00007096,PROD000988,2/4/2026,19:09:00,2/7/2026,1,9272.75,9272.75,0,,0,9272.75,UPI,Delivered,,,New Delhi,Delhi,28,26-35
ORD0000000057,CUST00030526,PROD001369,2/8/2025,10:17:00,2/13/2025,1,91261.86,91261.86,0,,0,91261.86,COD,Delivered,4,Value for money,Vadodara,Gujarat,40,36-45
ORD0000000058,CUST00029530,PROD000594,4/20/2026,14:19:00,4/25/2026,1,93.82,93.82,63.28,,0,157.1,UPI,Delivered,5,Amazing quality!,Bangalore,Karnataka,60,56-65
ORD0000000059,CUST00015980,PROD000722,6/15/2026,13:50:00,6/19/2026,1,18978.05,18978.05,0,,0,18978.05,UPI,Delivered,5,Amazing quality!,Mangalore,Karnataka,35,26-35
ORD0000000060,CUST00010929,PROD000918,5/5/2026,0:37:00,5/9/2026,2,399.86,799.72,0,SAVE10,79.97,719.75,COD,Delivered,,,Nagpur,Maharashtra,24,18-25
ORD0000000061,CUST00037687,PROD001956,6/5/2024,7:40:00,6/11/2024,1,1322.47,1322.47,0,,0,1322.47,COD,Delivered,5,Highly recommended!,New Delhi,Delhi,48,46-55
ORD0000000062,CUST00013748,PROD001861,5/26/2025,8:04:00,5/31/2025,1,7114.12,7114.12,0,,0,7114.12,UPI,Delivered,4,Value for money,Bangalore,Karnataka,33,26-35
ORD0000000063,CUST00007327,PROD000936,3/20/2026,5:43:00,3/25/2026,1,194.98,194.98,86.34,,0,281.32,UPI,Delivered,,,Panipat,Haryana,20,18-25
ORD0000000064,CUST00039925,PROD000861,10/26/2025,2:14:00,10/31/2025,1,15962.12,15962.12,0,SAVE10,1596.21,14365.91,UPI,Delivered,4,Value for money,Ahmedabad,Gujarat,27,26-35
ORD0000000065,CUST00020501,PROD001018,5/27/2026,14:56:00,6/3/2026,1,40783.2,40783.2,0,,0,40783.2,COD,Delivered,5,Amazing quality!,Ludhiana,Punjab,19,18-25
ORD0000000066,CUST00016657,PROD001544,1/27/2025,16:57:00,1/31/2025,1,61389.65,61389.65,0,DIWALI100,100,61289.65,COD,Delivered,,,Chennai,Tamil Nadu,26,26-35
ORD0000000067,CUST00023286,PROD001892,3/26/2026,15:47:00,4/2/2026,1,26870.55,26870.55,0,,0,26870.55,UPI,Delivered,4,Nice quality,Madurai,Tamil Nadu,32,26-35
ORD0000000068,CUST00037589,PROD000132,10/14/2025,4:25:00,10/19/2025,1,101.4,101.4,88.97,SAVE10,10.14,180.23,COD,Delivered,4,Nice quality,Chennai,Tamil Nadu,22,18-25
