Product_ID,Customer_name,Order_value,Order_value2,Random,,
PROD000001,Samsung Mobile V5,100532.23,100532.23,100532.23,,
PROD000002,HP Laptop V5,24086.65,24086.65,24086.65,,
PROD000003,boAt Headphones V2,61821.01,61821.01,61821.01,,
PROD000004,Noise Watch V7,86151.78,86151.78,86151.78,,
PROD000005,Apple iPhone V4,7466.64,7466.64,7466.64,,
PROD000006,Levis Jeans V1,6061.4,6061.4,6061.4,,
PROD000007,Peter England Shirt V8,6604,6604,6604,,
PROD000008,Nike Shoes V2,4470.7,4470.7,4470.7,,
PROD000009,Titan Watch V10,4443.83,4443.83,4443.83,,
PROD000010,Puma T-shirt V7,8143.82,8143.82,8143.82,,
PROD000011,IKEA Chair V1,7517.74,7517.74,7517.74,,
PROD000012,Prestige Cooker V1,677.63,677.63,677.63,,
PROD000013,Philips Mixer V4,17887.43,17887.43,17887.43,,
PROD000014,Godrej Almirah V7,9015.84,9015.84,9015.84,,
PROD000015,Urban Ladder Sofa V3,47048.62,47048.62,47048.62,,
PROD000016,Lakme Lipstick V4,4798.94,4798.94,4798.94,,
PROD000017,Mamaearth Facewash V10,3549.53,3549.53,3549.53,,
PROD000018,Nivea Cream V5,3900.02,3900.02,3900.02,,
PROD000019,Dove Soap V5,1165.88,1165.88,1165.88,,
PROD000020,Plum Serum V5,2313.46,2313.46,2313.46,,
PROD000021,Nike T-shirt V3,16881.99,16881.99,16881.99,,
PROD000022,Puma Shoes V5,10553.38,10553.38,10553.38,,
PROD000023,Decathlon Cycle V2,1298.1,1298.1,1298.1,,
PROD000024,Yoga Mat V7,7816.59,7816.59,7816.59,,
PROD000025,Dumbbells V1,15859.27,15859.27,15859.27,,
PROD000026,Fiction Novel V7,476.86,476.86,476.86,,
PROD000027,NCERT Book V7,913.99,913.99,913.99,,
PROD000028,Comics V10,401.19,401.19,401.19,,
PROD000029,Notebook V5,355.59,355.59,355.59,,
PROD000030,Stationery Set V7,1228.32,1228.32,1228.32,,
PROD001017,HP Laptop V7,2622.46,2622.46,2622.46,,
