Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value
2023,APR,STATE,1,7,TOTAL,224100000.00
2023,APR,STATE,5,7,TOTAL,319000000.00
2023,APR,STATE,6,7,TOTAL,271300000.00
2023,APR,STATE,8,7,TOTAL,52200000.00
2023,APR,STATE,13,7,TOTAL,437800000.00
2023,APR,STATE,17,7,TOTAL,162500000.00
2023,APR,STATE,18,7,TOTAL,891300000.00
2023,APR,STATE,19,7,TOTAL,1149000000.00
2023,APR,STATE,21,7,TOTAL,122400000.00
2023,APR,STATE,24,7,TOTAL,54500000.00
2023,APR,STATE,26,7,TOTAL,421900000.00
2023,APR,STATE,27,7,TOTAL,192200000.00
2023,APR,STATE,28,7,TOTAL,114300000.00
2023,APR,STATE,29,7,TOTAL,332300000.00
2023,APR,STATE,31,7,TOTAL,181400000.00
2023,APR,STATE,36,7,TOTAL,144500000.00
2023,APR,STATE,37,7,TOTAL,341000000.00
2023,APR,STATE,39,7,TOTAL,941900000.00
2023,APR,STATE,40,7,TOTAL,45800000.00
2023,APR,STATE,41,7,TOTAL,58000000.00
2023,APR,STATE,,7,TOTAL,747300000.00
2023,APR,STATE,42,7,TOTAL,635500000.00
2023,APR,STATE,45,7,TOTAL,80900000.00
2023,APR,STATE,46,7,TOTAL,30900000.00
2023,APR,STATE,48,7,TOTAL,528200000.00
2023,APR,STATE,49,7,TOTAL,150800000.00
2023,APR,STATE,51,7,TOTAL,62800000.00
2023,APR,STATE,53,7,TOTAL,142300000.00
2023,APR,STATE,55,7,TOTAL,194900000.00
2023,FEB,STATE,1,7,TOTAL,202500000.00
2023,FEB,STATE,5,7,TOTAL,298900000.00
2023,FEB,STATE,6,7,TOTAL,255100000.00
2023,FEB,STATE,8,7,TOTAL,39600000.00
2023,FEB,STATE,13,7,TOTAL,412600000.00
2023,FEB,STATE,17,7,TOTAL,148500000.00
2023,FEB,STATE,18,7,TOTAL,837600000.00
2023,FEB,STATE,19,7,TOTAL,997500000.00
2023,FEB,STATE,21,7,TOTAL,117000000.00
2023,FEB,STATE,24,7,TOTAL,51800000.00
2023,FEB,STATE,26,7,TOTAL,379900000.00
2023,FEB,STATE,27,7,TOTAL,184300000.00
2023,FEB,STATE,28,7,TOTAL,104800000.00
2023,FEB,STATE,29,7,TOTAL,312600000.00
2023,FEB,STATE,31,7,TOTAL,141800000.00
2023,FEB,STATE,36,7,TOTAL,134900000.00
2023,FEB,STATE,37,7,TOTAL,321100000.00
2023,FEB,STATE,39,7,TOTAL,842700000.00
2023,FEB,STATE,40,7,TOTAL,42600000.00
2023,FEB,STATE,41,7,TOTAL,51100000.00
2023,FEB,STATE,,7,TOTAL,689100000.00
2023,FEB,STATE,42,7,TOTAL,593200000.00
2023,FEB,STATE,45,7,TOTAL,82200000.00
2023,FEB,STATE,46,7,TOTAL,27400000.00
2023,FEB,STATE,48,7,TOTAL,488300000.00
2023,FEB,STATE,49,7,TOTAL,137000000.00
2023,FEB,STATE,51,7,TOTAL,59000000.00
2023,FEB,STATE,53,7,TOTAL,135000000.00
2023,FEB,STATE,55,7,TOTAL,139100000.00
2023,JAN,STATE,1,7,TOTAL,218300000.00
2023,JAN,STATE,5,7,TOTAL,335900000.00
2023,JAN,STATE,6,7,TOTAL,277200000.00
2023,JAN,STATE,8,7,TOTAL,44100000.00
2023,JAN,STATE,13,7,TOTAL,456300000.00
2023,JAN,STATE,17,7,TOTAL,162400000.00
2023,JAN,STATE,18,7,TOTAL,930300000.00
2023,JAN,STATE,19,7,TOTAL,1056800000.00
2023,JAN,STATE,21,7,TOTAL,128200000.00
2023,JAN,STATE,24,7,TOTAL,58500000.00
2023,JAN,STATE,26,7,TOTAL,418900000.00
2023,JAN,STATE,27,7,TOTAL,212500000.00
2023,JAN,STATE,28,7,TOTAL,114600000.00
2023,JAN,STATE,29,7,TOTAL,351400000.00
2023,JAN,STATE,31,7,TOTAL,148600000.00
2023,JAN,STATE,36,7,TOTAL,149900000.00
2023,JAN,STATE,37,7,TOTAL,352000000.00
2023,JAN,STATE,39,7,TOTAL,902700000.00
2023,JAN,STATE,40,7,TOTAL,50600000.00
2023,JAN,STATE,41,7,TOTAL,56500000.00
2023,JAN,STATE,,7,TOTAL,767700000.00
2023,JAN,STATE,42,7,TOTAL,663200000.00
2023,JAN,STATE,45,7,TOTAL,92000000.00
2023,JAN,STATE,46,7,TOTAL,27600000.00
2023,JAN,STATE,48,7,TOTAL,553800000.00
2023,JAN,STATE,49,7,TOTAL,155000000.00
2023,JAN,STATE,51,7,TOTAL,65300000.00
2023,JAN,STATE,53,7,TOTAL,151700000.00
2023,JAN,STATE,55,7,TOTAL,150500000.00
2023,MAR,STATE,1,7,TOTAL,229600000.00
2023,MAR,STATE,5,7,TOTAL,328500000.00
2023,MAR,STATE,6,7,TOTAL,278300000.00
2023,MAR,STATE,8,7,TOTAL,46600000.00
2023,MAR,STATE,13,7,TOTAL,456900000.00
2023,MAR,STATE,17,7,TOTAL,167400000.00
2023,MAR,STATE,18,7,TOTAL,929900000.00
2023,MAR,STATE,19,7,TOTAL,1159000000.00
2023,MAR,STATE,21,7,TOTAL,128100000.00
2023,MAR,STATE,24,7,TOTAL,56600000.00
2023,MAR,STATE,26,7,TOTAL,435000000.00
2023,MAR,STATE,27,7,TOTAL,198800000.00
2023,MAR,STATE,28,7,TOTAL,119800000.00
2023,MAR,STATE,29,7,TOTAL,339800000.00
2023,MAR,STATE,31,7,TOTAL,173900000.00
2023,MAR,STATE,36,7,TOTAL,148600000.00
2023,MAR,STATE,37,7,TOTAL,355000000.00
2023,MAR,STATE,39,7,TOTAL,967400000.00
2023,MAR,STATE,40,7,TOTAL,45500000.00
2023,MAR,STATE,41,7,TOTAL,58200000.00
2023,MAR,STATE,,7,TOTAL,763300000.00
2023,MAR,STATE,42,7,TOTAL,653600000.00
2023,MAR,STATE,45,7,TOTAL,85700000.00
2023,MAR,STATE,46,7,TOTAL,28700000.00
2023,MAR,STATE,48,7,TOTAL,540000000.00
2023,MAR,STATE,49,7,TOTAL,152100000.00
2023,MAR,STATE,51,7,TOTAL,64500000.00
2023,MAR,STATE,53,7,TOTAL,148500000.00
2023,MAR,STATE,55,7,TOTAL,168400000.00
2023,MAY,STATE,1,7,TOTAL,233000000.00
2023,MAY,STATE,5,7,TOTAL,329200000.00
2023,MAY,STATE,6,7,TOTAL,284900000.00
2023,MAY,STATE,8,7,TOTAL,59600000.00
2023,MAY,STATE,13,7,TOTAL,443000000.00
2023,MAY,STATE,17,7,TOTAL,167600000.00
2023,MAY,STATE,18,7,TOTAL,910300000.00
2023,MAY,STATE,19,7,TOTAL,1195900000.00
2023,MAY,STATE,21,7,TOTAL,126200000.00
2023,MAY,STATE,24,7,TOTAL,58300000.00
2023,MAY,STATE,26,7,TOTAL,431100000.00
2023,MAY,STATE,27,7,TOTAL,199100000.00
2023,MAY,STATE,28,7,TOTAL,117800000.00
2023,MAY,STATE,29,7,TOTAL,343600000.00
2023,MAY,STATE,31,7,TOTAL,196000000.00
2023,MAY,STATE,36,7,TOTAL,148400000.00
2023,MAY,STATE,37,7,TOTAL,358200000.00
2023,MAY,STATE,39,7,TOTAL,953600000.00
2023,MAY,STATE,40,7,TOTAL,47400000.00
2023,MAY,STATE,41,7,TOTAL,57600000.00
2023,MAY,STATE,,7,TOTAL,775700000.00
2023,MAY,STATE,42,7,TOTAL,684000000.00
2023,MAY,STATE,45,7,TOTAL,84700000.00
2023,MAY,STATE,46,7,TOTAL,37800000.00
2023,MAY,STATE,48,7,TOTAL,543700000.00
2023,MAY,STATE,49,7,TOTAL,151800000.00
2023,MAY,STATE,51,7,TOTAL,66200000.00
2023,MAY,STATE,53,7,TOTAL,142600000.00
2023,MAY,STATE,55,7,TOTAL,218200000.00
2022,APR,STATE,1,7,TOTAL,217000000.00
2022,APR,STATE,5,7,TOTAL,352500000.00
2022,APR,STATE,6,7,TOTAL,309300000.00
2022,APR,STATE,8,7,TOTAL,126300000.00
2022,APR,STATE,13,7,TOTAL,436100000.00
2022,APR,STATE,17,7,TOTAL,157400000.00
2022,APR,STATE,18,7,TOTAL,889800000.00
2022,APR,STATE,19,7,TOTAL,852600000.00
2022,APR,STATE,21,7,TOTAL,118300000.00
2022,APR,STATE,24,7,TOTAL,32000000.00
2022,APR,STATE,26,7,TOTAL,422100000.00
2022,APR,STATE,27,7,TOTAL,217600000.00
2022,APR,STATE,28,7,TOTAL,119900000.00
2022,APR,STATE,29,7,TOTAL,336200000.00
2022,APR,STATE,31,7,TOTAL,178300000.00
2022,APR,STATE,36,7,TOTAL,147400000.00
2022,APR,STATE,37,7,TOTAL,339200000.00
2022,APR,STATE,39,7,TOTAL,964700000.00
2022,APR,STATE,40,7,TOTAL,45900000.00
2022,APR,STATE,41,7,TOTAL,54200000.00
2022,APR,STATE,,7,TOTAL,718400000.00
2022,APR,STATE,42,7,TOTAL,675600000.00
2022,APR,STATE,45,7,TOTAL,79200000.00
2022,APR,STATE,46,7,TOTAL,49600000.00
2022,APR,STATE,48,7,TOTAL,553100000.00
2022,APR,STATE,49,7,TOTAL,150700000.00
2022,APR,STATE,51,7,TOTAL,62000000.00
2022,APR,STATE,53,7,TOTAL,167900000.00
2022,APR,STATE,55,7,TOTAL,121300000.00
2022,AUG,STATE,1,7,TOTAL,224800000.00
2022,AUG,STATE,5,7,TOTAL,331300000.00
2022,AUG,STATE,6,7,TOTAL,336900000.00
2022,AUG,STATE,8,7,TOTAL,55500000.00
2022,AUG,STATE,13,7,TOTAL,441200000.00
2022,AUG,STATE,17,7,TOTAL,156900000.00
2022,AUG,STATE,18,7,TOTAL,929800000.00
2022,AUG,STATE,19,7,TOTAL,976200000.00
2022,AUG,STATE,21,7,TOTAL,124000000.00
2022,AUG,STATE,24,7,TOTAL,52200000.00
2022,AUG,STATE,26,7,TOTAL,431600000.00
2022,AUG,STATE,27,7,TOTAL,225300000.00
2022,AUG,STATE,28,7,TOTAL,122600000.00
2022,AUG,STATE,29,7,TOTAL,343000000.00
2022,AUG,STATE,31,7,TOTAL,145500000.00
2022,AUG,STATE,36,7,TOTAL,150900000.00
2022,AUG,STATE,37,7,TOTAL,353100000.00
2022,AUG,STATE,39,7,TOTAL,1026900000.00
2022,AUG,STATE,40,7,TOTAL,49200000.00
2022,AUG,STATE,41,7,TOTAL,52600000.00
2022,AUG,STATE,,7,TOTAL,743700000.00
2022,AUG,STATE,42,7,TOTAL,662900000.00
2022,AUG,STATE,45,7,TOTAL,89100000.00
2022,AUG,STATE,46,7,TOTAL,48200000.00
2022,AUG,STATE,48,7,TOTAL,557300000.00
2022,AUG,STATE,49,7,TOTAL,137500000.00
2022,AUG,STATE,51,7,TOTAL,65900000.00
2022,AUG,STATE,53,7,TOTAL,174700000.00
2022,AUG,STATE,55,7,TOTAL,149600000.00
2022,DEC,STATE,1,7,TOTAL,216000000.00
2022,DEC,STATE,5,7,TOTAL,339400000.00
2022,DEC,STATE,6,7,TOTAL,297400000.00
2022,DEC,STATE,8,7,TOTAL,51200000.00
2022,DEC,STATE,13,7,TOTAL,450000000.00
2022,DEC,STATE,17,7,TOTAL,163800000.00
2022,DEC,STATE,18,7,TOTAL,939200000.00
2022,DEC,STATE,19,7,TOTAL,1045800000.00
