Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value,,,,
2022,YEAR,STATE,6,4,TOTAL,377839000.00,,377839000,,
2022,YEAR,STATE,36,4,TOTAL,793256000.00,,793256000,,793256000.00
2021,YEAR,STATE,6,4,TOTAL,374637000.00,,374637000,,374637000.00
2021,YEAR,STATE,36,4,TOTAL,774881000.00,,774881000,,774881000.00
2020,YEAR,STATE,6,4,TOTAL,354906000.00,,354906000,,354906000.00
2020,YEAR,STATE,36,4,TOTAL,722922000.00,,722922000,,722922000.00
2019,YEAR,STATE,6,4,TOTAL,373760000.00,,373760000,,373760000.00
2019,YEAR,STATE,36,4,TOTAL,679190000.00,,679190000,,679190000.00
2019,YEAR,STATE,48,4,TOTAL,37769000.00,,37769000,,37769000.00
2018,YEAR,STATE,6,4,TOTAL,415150000.00,,415150000,,415150000.00
2018,YEAR,STATE,36,4,TOTAL,691044000.00,,691044000,,691044000.00
2018,YEAR,STATE,41,4,TOTAL,41753000.00,,41753000,,41753000.00
2018,YEAR,STATE,48,4,TOTAL,31569000.00,,31569000,,31569000.00
2017,YEAR,STATE,6,4,TOTAL,442423000.00,,442423000,,442423000.00
2017,YEAR,STATE,36,4,TOTAL,706923000.00,,706923000,,706923000.00
2017,YEAR,STATE,41,4,TOTAL,49157000.00,,49157000,,49157000.00
2017,YEAR,STATE,48,4,TOTAL,34323000.00,,34323000,,34323000.00
2016,YEAR,STATE,6,4,TOTAL,394899000.00,,394899000,,394899000.00
2016,YEAR,STATE,36,4,TOTAL,676792000.00,,676792000,,676792000.00
2016,YEAR,STATE,41,4,TOTAL,52438000.00,,52438000,,52438000.00
2016,YEAR,STATE,48,4,TOTAL,50792000.00,,50792000,,50792000.00
2015,YEAR,STATE,6,4,TOTAL,465665000.00,,465665000,,465665000.00
2015,YEAR,STATE,36,4,TOTAL,669254000.00,,669254000,,669254000.00
2015,YEAR,STATE,41,4,TOTAL,55346000.00,,55346000,,55346000.00
2015,YEAR,STATE,48,4,TOTAL,94126000.00,,94126000,,94126000.00
2014,YEAR,STATE,6,4,TOTAL, (D),,0,,0.00
2014,YEAR,STATE,36,4,TOTAL,663917000.00,,663917000,,663917000.00
2014,YEAR,STATE,41,4,TOTAL,59208000.00,,59208000,,
2014,YEAR,STATE,48,4,TOTAL, (D),,0,,
2009,YEAR,STATE,6,4,TOTAL,620171000.00,,620171000,,
2009,YEAR,STATE,36,4,TOTAL,251604000.00,,251604000,,
2009,YEAR,STATE,47,4,TOTAL,284295000.00,,,,
2009,YEAR,STATE,49,4,TOTAL,244252000.00,,,,
2009,YEAR,STATE,55,4,TOTAL,173178000.00,,,,
2008,YEAR,STATE,6,4,TOTAL,581768000.00,,,,
2008,YEAR,STATE,36,4,TOTAL,224988000.00,,,,
2008,YEAR,STATE,47,4,TOTAL,258078000.00,,,,
2008,YEAR,STATE,49,4,TOTAL,208897000.00,,,,
2008,YEAR,STATE,55,4,TOTAL,162847000.00,,,,
2007,YEAR,STATE,6,4,TOTAL,559921000.00,,,,
2007,YEAR,STATE,19,4,TOTAL,21300000.00,,,,
2007,YEAR,STATE,36,4,TOTAL,234740000.00,,,,
2007,YEAR,STATE,47,4,TOTAL,193536000.00,,,,
2007,YEAR,STATE,49,4,TOTAL,140948000.00,,,,
2007,YEAR,STATE,55,4,TOTAL,147282000.00,,,,
2006,YEAR,STATE,6,4,TOTAL,543345000.00,,,,
2006,YEAR,STATE,19,4,TOTAL,25520000.00,,,,
2006,YEAR,STATE,36,4,TOTAL,236987000.00,,,,
2006,YEAR,STATE,47,4,TOTAL,155331000.00,,,,
2006,YEAR,STATE,49,4,TOTAL,163713000.00,,,,
2006,YEAR,STATE,55,4,TOTAL,144534000.00,,,,
2005,YEAR,STATE,6,4,TOTAL,511990000.00,,,,
2005,YEAR,STATE,19,4,TOTAL,17412000.00,,,,
2005,YEAR,STATE,36,4,TOTAL,232307000.00,,,,
2005,YEAR,STATE,42,4,TOTAL,931000.00,,,,
2005,YEAR,STATE,47,4,TOTAL,99595000.00,,,,
